,open,high,low,close,volume,trade_count,vwap,symbol
2020-07-21,1639.98,1675.0,1558.0,1568.36,16193302,567214,1612.407463,TSLA
2020-07-22,1601.66,1626.42,1562.0,1592.33,14161512,559794,1606.307555,TSLA
2020-07-23,1678.9,1689.0,1480.77,1513.07,24328697,872881,1567.652335,TSLA
2020-07-24,1416.01,1465.0,1366.5401,1417.0,19397409,660311,1422.907718,TSLA
2020-07-27,1434.54,1547.94,1413.0003,1539.6,16048671,497219,1478.906252,TSLA
2020-07-28,1500.0,1564.7,1474.42,1476.49,15808711,464088,1515.627757,TSLA
2020-07-29,1501.0,1534.81,1487.0,1499.11,9426893,287326,1510.365008,TSLA
2020-07-30,1488.0,1513.24,1471.0,1487.49,7621111,241686,1492.525917,TSLA
2020-07-31,1516.02,1517.05,1420.98,1430.76,12247338,405814,1455.645016,TSLA
2020-08-03,1450.21,1509.8101,1444.3844,1485.0,8809359,298393,1484.919242,TSLA
2020-08-04,1496.02,1527.41,1462.0,1487.0,8410015,259290,1488.33885,TSLA
2020-08-05,1493.01,1499.8384,1468.31,1485.02,4978015,178469,1484.955367,TSLA
2020-08-06,1490.83,1517.31,1477.26,1489.58,5992313,203242,1493.995022,TSLA
2020-08-07,1499.75,1499.75,1415.01,1452.71,8897817,337755,1452.516315,TSLA
2020-08-10,1445.25,1457.5,1385.84,1418.57,7522264,301165,1419.630988,TSLA
2020-08-11,1397.85,1420.0,1365.0,1374.39,8625840,359160,1403.98578,TSLA
2020-08-12,1469.98,1585.0,1435.0,1554.76,21899106,805729,1517.192307,TSLA
2020-08-13,1613.73,1651.18,1567.26,1621.0,20426710,710149,1620.107048,TSLA
2020-08-14,1664.99,1668.8,1626.64,1650.71,12577786,440108,1647.8873,TSLA
2020-08-17,1677.86,1845.86,1672.83,1835.64,20242597,759258,1776.834207,TSLA
2020-08-18,1900.0,1923.9,1845.11,1887.09,16481492,657450,1891.500607,TSLA
2020-08-19,1865.0,1911.0,1841.21,1878.53,12205473,485987,1885.762943,TSLA
2020-08-20,1859.99,2021.99,1857.06,2001.83,20611934,776244,1970.808055,TSLA
2020-08-21,2044.8,2095.49,2025.05,2049.98,21489743,805903,2064.70441,TSLA
2020-08-24,2128.1,2129.0,1927.52,2014.2,20073326,853714,2025.345351,TSLA
2020-08-25,1974.89,2027.95,1968.0,2023.34,10658909,431470,1998.821055,TSLA
2020-08-26,2060.0,2166.0,2053.6291,2153.17,14239384,579503,2121.705807,TSLA
2020-08-27,2181.99,2295.6,2142.5,2238.75,23693083,919218,2224.860379,TSLA
2020-08-28,2297.67,2318.49,2186.52,2213.4,20146652,870344,2250.325986,TSLA
2020-08-31,444.89,500.14,440.11,498.32,118424529,2811226,478.525317,TSLA
2020-09-01,502.29,502.49,470.51,475.05,90270040,2184963,486.601964,TSLA
2020-09-02,479.0,479.04,405.1206,447.37,96583753,2204982,443.161822,TSLA
2020-09-03,407.12,431.8,402.0,407.0,87635747,1836031,412.393324,TSLA
